Publication Year,Author,DOI
2020,"Acquisti, Alessandro; Fong, Christina",10.1287/mnsc.2018.3269
2018,"Ameri, Mason; Schur, Lisa; Adya, Meera; Bentley, F. Scott; McKay, Patrick; Kruse, Douglas",10.1177/0019793917717474
2013,"Bailey, John; Wallace, Michael; Wright, Bradley",10.1080/00918369.2013.774860
2019,"Beauregard, Jean-Philippe; Arteau, Gabriel; Drolet-Brassard, Renaud",10.7202/1066153ar
2004,"Bertrand, M; Mullainathan, S",10.1257/0002828042002561
2019,"Boyd-Swan, Casey; Herbst, Chris M.",10.3102/0013189X19867941
2020,"Button, Patrick; Walker, Brigham",10.1016/j.labeco.2020.101851
2007,"Correll, SJ; Benard, S; Paik, I",10.1086/511799
2016,"Darolia, Rajeev; Koedel, Cory; Martorell, Paco; Wilson, Katie; Perez-Arce, Francisco",10.1080/13504851.2015.1114571
2015,"Decker, Scott H.; Ortiz, Natalie; Spohn, Cassia; Hedberg, Eric",10.1016/j.jcrimjus.2015.02.002
2016,"Deming, David J.; Yuchtman, Noam; Abulafi, Amira; Goldin, Claudia; Katz, Lawrence F.",10.1257/aer.20141757
2016,"Farber, Henry S.; Silverman, Dan; von Wachter, Till",10.1257/aer.p20161010
2019,"Figinski, Theodore F.",10.1080/10242694.2017.1357521
2019,"Flake, Dallan F.",
2015,"Gaddis, S. Michael",10.1093/sf/sou111
2019,"Gaulke, Amanda; Cassidy, Hugh; Namingit, Sheryll",10.1016/j.labeco.2019.101759
2018,"Gorsuch, Marina; Rho, Deborah",10.2139/ssrn.3184984
2021,"Gorzig, MM; Rho, D",10.1007/s41996-021-00079-0
2016,"Hipes, Crosby; Lucas, Jeffrey; Phelan, Jo C.; White, Richard C.",10.1016/j.ssresearch.2015.12.001
2021,"Ishizuka, Patrick",10.1215/00703370-9373587
2012,"Jacquemet, Nicolas; Yannelis, Constantine",10.1016/j.labeco.2012.08.004
1974,"Jolson, Marvin A.",10.2307/1250200
2016,"Kang, Sonia K.; DeCelles, Katherine A.; Tilcsik, Andras; Jun, Sora",10.1177/0001839216639577
2009,"Kleykamp, Meredith",10.1177/0095327X07308631
2022,"Kline, Patrick; Rose, Evan K; Walters, Christopher R",10.1093/qje/qjac024
,"Kreisberg, Nicole; Wilmers, Nathan",10.1177/00197939211036444
2013,"Kroft, K; Lange, F; Notowidigdo, MJ",10.1093/qje/qjt015
2008,"Lahey, JN",
2020,"Lambert, Jason R.; Akinlade, Ekundayo Y.",10.1108/PR-06-2018-0229
2020,"Leasure, P; Andersen, TS",10.1080/01639625.2019.1596539
,"Mihut, Georgiana",10.1080/03075079.2020.1870949
2016,"Mishel, E",10.1177/2378023115621316
2021,"Mishel, EK",
2019,"Mobasseri, Sanaz",10.1086/703883
2021,"Namingit, Sheryll; Blankenau, William; Schwab, Benjamin",10.1016/j.jebo.2020.09.033
2019,"Neumark, David; Burn, Ian; Button, Patrick",10.1086/701029
2019,"Neumark, David; Burn, Ian; Button, Patrick; Chehras, Nanneh",10.1086/704008
2015,"Nunley, John M.; Pugh, Adam; Romero, Nicholas; Seals, R. Alan",10.1515/bejeap-2014-0082
2011,"Oreopoulos, Philip",10.1257/pol.3.4.148
2018,"Pedulla, David S.",10.1093/sf/soy002
2022,"Pedulla, David S.; Muñoz, John; Wullert, Katherine E.; Dias, Felipe A.",10.1177/23326492211029336
2016,"Rivera, Lauren A.; Tilcsik, Andras",10.1177/0003122416668154
2018,"Thomas, Kyla",10.15195/v5.a24
2011,"Tilcsik, Andras",10.1086/661653
2011,"Widner, Daniel; Chicoine, Stephen",10.1111/j.1573-7861.2011.01285.x
2013,"Wright, Bradley R. E.; Wallace, Michael; Bailey, John; Hyde, Allen",10.1016/j.rssm.2013.10.002
2020,"Yemane, Ruta",10.1016/j.rssm.2020.100552
2021,"Yemane, Ruta; Fernandez-Reino, Marina",10.1080/1369183X.2019.1622806